LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EMP,TOT,PC_WKGPOP,A,2011,72.65694,
AUS,EMP,TOT,PC_WKGPOP,A,2012,72.34558,
AUS,EMP,TOT,PC_WKGPOP,A,2013,71.97044,
AUS,EMP,TOT,PC_WKGPOP,A,2014,71.56635,
AUS,EMP,TOT,PC_WKGPOP,A,2015,72.15796,
AUS,EMP,TOT,PC_WKGPOP,A,2016,72.4315,
AUS,EMP,TOT,PC_WKGPOP,A,2017,72.98936,
AUS,EMP,TOT,PC_WKGPOP,A,2018,73.76588,
AUS,EMP,TOT,PC_WKGPOP,A,2019,74.32264,
AUS,EMP,TOT,PC_WKGPOP,A,2020,72.70296,
AUT,EMP,TOT,PC_WKGPOP,A,2011,71.1,
AUT,EMP,TOT,PC_WKGPOP,A,2012,71.425,
AUT,EMP,TOT,PC_WKGPOP,A,2013,71.4,
AUT,EMP,TOT,PC_WKGPOP,A,2014,71.075,
AUT,EMP,TOT,PC_WKGPOP,A,2015,71.1,
AUT,EMP,TOT,PC_WKGPOP,A,2016,71.55,
AUT,EMP,TOT,PC_WKGPOP,A,2017,72.2,
AUT,EMP,TOT,PC_WKGPOP,A,2018,73.025,
AUT,EMP,TOT,PC_WKGPOP,A,2019,73.525,
AUT,EMP,TOT,PC_WKGPOP,A,2020,71.725,
BEL,EMP,TOT,PC_WKGPOP,A,2011,61.925,
BEL,EMP,TOT,PC_WKGPOP,A,2012,61.825,
BEL,EMP,TOT,PC_WKGPOP,A,2013,61.8,
BEL,EMP,TOT,PC_WKGPOP,A,2014,61.9,
BEL,EMP,TOT,PC_WKGPOP,A,2015,61.8,
BEL,EMP,TOT,PC_WKGPOP,A,2016,62.3,B
BEL,EMP,TOT,PC_WKGPOP,A,2017,63.125,
BEL,EMP,TOT,PC_WKGPOP,A,2018,64.45,
BEL,EMP,TOT,PC_WKGPOP,A,2019,65.3,
BEL,EMP,TOT,PC_WKGPOP,A,2020,64.45,
CAN,EMP,TOT,PC_WKGPOP,A,2011,71.71667,
CAN,EMP,TOT,PC_WKGPOP,A,2012,71.925,
CAN,EMP,TOT,PC_WKGPOP,A,2013,72.29166,
CAN,EMP,TOT,PC_WKGPOP,A,2014,72.13333,
CAN,EMP,TOT,PC_WKGPOP,A,2015,72.35833,
CAN,EMP,TOT,PC_WKGPOP,A,2016,72.33334,
CAN,EMP,TOT,PC_WKGPOP,A,2017,73.15833,
CAN,EMP,TOT,PC_WKGPOP,A,2018,73.53333,
CAN,EMP,TOT,PC_WKGPOP,A,2019,74.15,
CAN,EMP,TOT,PC_WKGPOP,A,2020,69.96667,
CZE,EMP,TOT,PC_WKGPOP,A,2011,65.725,
CZE,EMP,TOT,PC_WKGPOP,A,2012,66.55,
CZE,EMP,TOT,PC_WKGPOP,A,2013,67.725,
