"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3809.112,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3854.19,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4087.849,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4562.73,"B"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4777.388,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",5037.334,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",5075.384,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",5193.845,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",5130.234,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2020",5627.315,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2011",4345.158,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2012",4588.344,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2013",4767.083,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2014",4858.332,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",4943.516,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5195.532,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5315.355,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5518.538,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5624.014,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2020",5882.745,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2011",4053.883,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2012",4233.076,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2013",4430.729,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2014",4580.064,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2015",4807.4,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",4998.998,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",5121.186,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",5315.194,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2019",5352.871,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2020",5274.091,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2011",4228.962,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2012",4336.249,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2013",4428.753,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2014",4536.81,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4635.285,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",5044.275,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",5150.47,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",5308.356,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2019",5189.721,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2020",5828.324,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2011",2041.899,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2012",2090.485,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2013",2448.529,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2014",2564.609,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2015",2544.865,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2016",2670.969,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2017",2969.542,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3128.523,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2019",3272.224,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2020",3805.143,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2011",4274.142,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2012",4433.363,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2013",4525.669,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2014",4597.459,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2015",4726.752,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2016",4900.939,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2017",5112.959,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5306.704,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2019",5359.776,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2020",5693.651,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2011",3598.302,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2012",3786.188,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2013",3933.236,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2014",3955.755,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2015",3992.493,"B"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2016",4103.554,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2017",4215.309,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4330.443,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2019",4382.414,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2020",4565.507,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2011",4161.698,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2012",4299.434,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2013",4544.964,"B"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2014",4626.679,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2015",4667.156,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4928.128,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",5005.756,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",5099.306,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2019",5167.839,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2020",5468.418,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2011",4566.678,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2012",4745.546,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2013",4951.677,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2014",5151.709,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2015",5295.975,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2016",5669.064,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2017",5970.163,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",6281.84,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2019",6407.928,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2020",6938.983,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2011",2289.591,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2012",2145.538,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2013",2087.856,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2014",2011.097,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2015",2122.934,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2016",2258.26,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2017",2250.844,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2018",2314.696,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2019",2349.574,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2020",2486.091,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2011",1755.527,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2012",1766.535,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2013",1821.58,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2014",1863.754,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2015",1891.248,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2016",1999.683,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2017",1997.273,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2018",2105.71,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2019",2094.079,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2020",2401.999,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2011",3312.455,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2012",3399.002,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2013",3498.071,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2014",3599.617,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2015",3733.352,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2016",3932.095,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2017",4111.255,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2018",4235.661,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2019",4318.269,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2020",4620.158,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2011",4197.569,"B"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2012",4358.936,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2013",4299.899,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2014",4196.666,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2015",4295.464,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2016",4536.748,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2017",4683.366,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2018",4870.689,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2019",4947.222,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2020",5372.814,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2011",3098.256,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2012",3071.61,"B"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2013",3042.931,
