LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,INTERNET,TOT,PC_HH,A,2011,NaN,
AUS,INTERNET,TOT,PC_HH,A,2012,83,D
AUS,INTERNET,TOT,PC_HH,A,2013,NaN,
AUS,INTERNET,TOT,PC_HH,A,2014,85.89,
AUS,INTERNET,TOT,PC_HH,A,2015,NaN,
AUS,INTERNET,TOT,PC_HH,A,2016,86.11,
AUS,INTERNET,TOT,PC_HH,A,2017,NaN,
AUS,INTERNET,TOT,PC_HH,A,2018,NaN,
AUS,INTERNET,TOT,PC_HH,A,2019,NaN,
AUS,INTERNET,TOT,PC_HH,A,2020,NaN,
AUT,INTERNET,TOT,PC_HH,A,2011,75.4407,
AUT,INTERNET,TOT,PC_HH,A,2012,79.2846,
AUT,INTERNET,TOT,PC_HH,A,2013,80.8626,
AUT,INTERNET,TOT,PC_HH,A,2014,80.9946,
AUT,INTERNET,TOT,PC_HH,A,2015,82.416,
AUT,INTERNET,TOT,PC_HH,A,2016,85.0929,
AUT,INTERNET,TOT,PC_HH,A,2017,88.7924,
AUT,INTERNET,TOT,PC_HH,A,2018,88.7752,
AUT,INTERNET,TOT,PC_HH,A,2019,89.9074,
AUT,INTERNET,TOT,PC_HH,A,2020,90.4008,
BEL,INTERNET,TOT,PC_HH,A,2011,76.5078,
BEL,INTERNET,TOT,PC_HH,A,2012,77.7137,
BEL,INTERNET,TOT,PC_HH,A,2013,80.0478,
BEL,INTERNET,TOT,PC_HH,A,2014,82.8041,
BEL,INTERNET,TOT,PC_HH,A,2015,81.825,
BEL,INTERNET,TOT,PC_HH,A,2016,84.7857,
BEL,INTERNET,TOT,PC_HH,A,2017,85.9684,
BEL,INTERNET,TOT,PC_HH,A,2018,87.2725,
BEL,INTERNET,TOT,PC_HH,A,2019,89.7301,
BEL,INTERNET,TOT,PC_HH,A,2020,90.861,
DNK,INTERNET,TOT,PC_HH,A,2011,90.0828,
DNK,INTERNET,TOT,PC_HH,A,2012,91.9976,
DNK,INTERNET,TOT,PC_HH,A,2013,92.7135,
DNK,INTERNET,TOT,PC_HH,A,2014,93.1202,
DNK,INTERNET,TOT,PC_HH,A,2015,91.74,
DNK,INTERNET,TOT,PC_HH,A,2016,94.3436,
DNK,INTERNET,TOT,PC_HH,A,2017,97.0007,
DNK,INTERNET,TOT,PC_HH,A,2018,92.6641,
DNK,INTERNET,TOT,PC_HH,A,2019,95.4343,
DNK,INTERNET,TOT,PC_HH,A,2020,95.2724,
DEU,INTERNET,TOT,PC_HH,A,2011,83.2549,
DEU,INTERNET,TOT,PC_HH,A,2012,85.4999,
DEU,INTERNET,TOT,PC_HH,A,2013,87.747,
DEU,INTERNET,TOT,PC_HH,A,2014,89.4741,
DEU,INTERNET,TOT,PC_HH,A,2015,90.2891,
DEU,INTERNET,TOT,PC_HH,A,2016,92.1352,
DEU,INTERNET,TOT,PC_HH,A,2017,92.8571,
DEU,INTERNET,TOT,PC_HH,A,2018,94.3939,
DEU,INTERNET,TOT,PC_HH,A,2019,94.8293,
DEU,INTERNET,TOT,PC_HH,A,2020,95.7951,
ISL,INTERNET,TOT,PC_HH,A,2011,92.5945,
ISL,INTERNET,TOT,PC_HH,A,2012,94.6001,
ISL,INTERNET,TOT,PC_HH,A,2013,96.4134,
ISL,INTERNET,TOT,PC_HH,A,2014,96.482,
ISL,INTERNET,TOT,PC_HH,A,2015,NaN,
ISL,INTERNET,TOT,PC_HH,A,2016,NaN,
ISL,INTERNET,TOT,PC_HH,A,2017,97.8642,
ISL,INTERNET,TOT,PC_HH,A,2018,99.1818,
ISL,INTERNET,TOT,PC_HH,A,2019,97.7012,
ISL,INTERNET,TOT,PC_HH,A,2020,98.4845,
CZE,INTERNET,TOT,PC_HH,A,2011,66.6342,
CZE,INTERNET,TOT,PC_HH,A,2012,72.5515,
CZE,INTERNET,TOT,PC_HH,A,2013,72.6166,
CZE,INTERNET,TOT,PC_HH,A,2014,77.9899,
CZE,INTERNET,TOT,PC_HH,A,2015,78.9753,
CZE,INTERNET,TOT,PC_HH,A,2016,81.65,
CZE,INTERNET,TOT,PC_HH,A,2017,83.2351,
CZE,INTERNET,TOT,PC_HH,A,2018,86.3574,
CZE,INTERNET,TOT,PC_HH,A,2019,86.9996,
CZE,INTERNET,TOT,PC_HH,A,2020,88.0204,
FRA,INTERNET,TOT,PC_HH,A,2011,75.9151,
FRA,INTERNET,TOT,PC_HH,A,2012,80.0043,
FRA,INTERNET,TOT,PC_HH,A,2013,81.7192,
FRA,INTERNET,TOT,PC_HH,A,2014,82.9556,
