LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EDUADULT,TRY,PC_25_64,A,2011,38.342072,
AUS,EDUADULT,TRY,PC_25_64,A,2012,41.282364,
AUS,EDUADULT,TRY,PC_25_64,A,2013,39.539928,
AUS,EDUADULT,TRY,PC_25_64,A,2014,41.901855,
AUS,EDUADULT,TRY,PC_25_64,A,2015,42.888756,
AUS,EDUADULT,TRY,PC_25_64,A,2016,43.7439,
AUS,EDUADULT,TRY,PC_25_64,A,2017,45.355675,
AUS,EDUADULT,TRY,PC_25_64,A,2018,45.727478,
AUS,EDUADULT,TRY,PC_25_64,A,2019,47.129978,
AUS,EDUADULT,TRY,PC_25_64,A,2020,49.337452,
AUT,EDUADULT,TRY,PC_25_64,A,2011,27.956152,
AUT,EDUADULT,TRY,PC_25_64,A,2012,28.739943,
AUT,EDUADULT,TRY,PC_25_64,A,2013,29.738844,
AUT,EDUADULT,TRY,PC_25_64,A,2014,29.904896,
AUT,EDUADULT,TRY,PC_25_64,A,2015,30.550726,
AUT,EDUADULT,TRY,PC_25_64,A,2016,31.383963,
AUT,EDUADULT,TRY,PC_25_64,A,2017,32.39439,
AUT,EDUADULT,TRY,PC_25_64,A,2018,32.711426,
AUT,EDUADULT,TRY,PC_25_64,A,2019,33.773777,
AUT,EDUADULT,TRY,PC_25_64,A,2020,34.205894,
BEL,EDUADULT,TRY,PC_25_64,A,2011,34.612984,
BEL,EDUADULT,TRY,PC_25_64,A,2012,35.316551,
BEL,EDUADULT,TRY,PC_25_64,A,2013,35.535332,
BEL,EDUADULT,TRY,PC_25_64,A,2014,36.855022,
BEL,EDUADULT,TRY,PC_25_64,A,2015,36.857422,
BEL,EDUADULT,TRY,PC_25_64,A,2016,37.503956,
BEL,EDUADULT,TRY,PC_25_64,A,2017,40.257053,
BEL,EDUADULT,TRY,PC_25_64,A,2018,40.638546,
BEL,EDUADULT,TRY,PC_25_64,A,2019,40.67009,
BEL,EDUADULT,TRY,PC_25_64,A,2020,42.442284,
CAN,EDUADULT,TRY,PC_25_64,A,2011,51.033012,
CAN,EDUADULT,TRY,PC_25_64,A,2012,52.305416,
CAN,EDUADULT,TRY,PC_25_64,A,2013,52.971439,
CAN,EDUADULT,TRY,PC_25_64,A,2014,53.61496,
CAN,EDUADULT,TRY,PC_25_64,A,2015,55.17366,
CAN,EDUADULT,TRY,PC_25_64,A,2016,56.265068,
CAN,EDUADULT,TRY,PC_25_64,A,2017,56.71452,
CAN,EDUADULT,TRY,PC_25_64,A,2018,57.888363,
CAN,EDUADULT,TRY,PC_25_64,A,2019,59.374844,
CAN,EDUADULT,TRY,PC_25_64,A,2020,59.961113,
CZE,EDUADULT,TRY,PC_25_64,A,2011,18.243177,
CZE,EDUADULT,TRY,PC_25_64,A,2012,19.277992,
CZE,EDUADULT,TRY,PC_25_64,A,2013,20.45986,
CZE,EDUADULT,TRY,PC_25_64,A,2014,21.51013,
CZE,EDUADULT,TRY,PC_25_64,A,2015,22.186741,
CZE,EDUADULT,TRY,PC_25_64,A,2016,22.971544,
CZE,EDUADULT,TRY,PC_25_64,A,2017,23.927534,
CZE,EDUADULT,TRY,PC_25_64,A,2018,24.262077,
CZE,EDUADULT,TRY,PC_25_64,A,2019,24.212393,
CZE,EDUADULT,TRY,PC_25_64,A,2020,24.853664,
DNK,EDUADULT,TRY,PC_25_64,A,2011,33.662952,
DNK,EDUADULT,TRY,PC_25_64,A,2012,34.639698,
DNK,EDUADULT,TRY,PC_25_64,A,2013,35.204632,
DNK,EDUADULT,TRY,PC_25_64,A,2014,35.667145,
DNK,EDUADULT,TRY,PC_25_64,A,2015,36.565422,
DNK,EDUADULT,TRY,PC_25_64,A,2016,37.766045,
DNK,EDUADULT,TRY,PC_25_64,A,2017,38.889214,
DNK,EDUADULT,TRY,PC_25_64,A,2018,39.44791,
DNK,EDUADULT,TRY,PC_25_64,A,2019,40.353836,
DNK,EDUADULT,TRY,PC_25_64,A,2020,39.326214,
FIN,EDUADULT,TRY,PC_25_64,A,2011,39.318207,
FIN,EDUADULT,TRY,PC_25_64,A,2012,39.661289,
FIN,EDUADULT,TRY,PC_25_64,A,2013,40.545231,
FIN,EDUADULT,TRY,PC_25_64,A,2014,41.776676,
FIN,EDUADULT,TRY,PC_25_64,A,2015,42.742619,
FIN,EDUADULT,TRY,PC_25_64,A,2016,43.595264,
FIN,EDUADULT,TRY,PC_25_64,A,2017,44.304253,
FIN,EDUADULT,TRY,PC_25_64,A,2018,45.188133,
FIN,EDUADULT,TRY,PC_25_64,A,2019,45.93438,
FIN,EDUADULT,TRY,PC_25_64,A,2020,47.874241,
FRA,EDUADULT,TRY,PC_25_64,A,2011,29.767,
FRA,EDUADULT,TRY,PC_25_64,A,2012,30.856123,
FRA,EDUADULT,TRY,PC_25_64,A,2013,32.105263,
FRA,EDUADULT,TRY,PC_25_64,A,2014,33.539047,
FRA,EDUADULT,TRY,PC_25_64,A,2015,34.085361,
FRA,EDUADULT,TRY,PC_25_64,A,2016,34.582485,
FRA,EDUADULT,TRY,PC_25_64,A,2017,35.213791,
FRA,EDUADULT,TRY,PC_25_64,A,2018,36.897491,
FRA,EDUADULT,TRY,PC_25_64,A,2019,37.904724,
FRA,EDUADULT,TRY,PC_25_64,A,2020,39.717316,
DEU,EDUADULT,TRY,PC_25_64,A,2011,27.562323,
DEU,EDUADULT,TRY,PC_25_64,A,2012,28.121572,
DEU,EDUADULT,TRY,PC_25_64,A,2013,28.47327,
DEU,EDUADULT,TRY,PC_25_64,A,2014,27.057884,
DEU,EDUADULT,TRY,PC_25_64,A,2015,27.638235,
DEU,EDUADULT,TRY,PC_25_64,A,2016,28.291723,
DEU,EDUADULT,TRY,PC_25_64,A,2017,28.58337,
DEU,EDUADULT,TRY,PC_25_64,A,2018,29.065134,
DEU,EDUADULT,TRY,PC_25_64,A,2019,29.900126,
DEU,EDUADULT,TRY,PC_25_64,A,2020,31.255043,
GRC,EDUADULT,TRY,PC_25_64,A,2011,26.112072,
GRC,EDUADULT,TRY,PC_25_64,A,2012,26.719267,
GRC,EDUADULT,TRY,PC_25_64,A,2013,27.423178,
GRC,EDUADULT,TRY,PC_25_64,A,2014,28.105659,
GRC,EDUADULT,TRY,PC_25_64,A,2015,29.057495,
GRC,EDUADULT,TRY,PC_25_64,A,2016,30.231607,
GRC,EDUADULT,TRY,PC_25_64,A,2017,31.027514,
GRC,EDUADULT,TRY,PC_25_64,A,2018,31.739904,
GRC,EDUADULT,TRY,PC_25_64,A,2019,31.890486,
GRC,EDUADULT,TRY,PC_25_64,A,2020,32.744011,
HUN,EDUADULT,TRY,PC_25_64,A,2011,21.124001,
HUN,EDUADULT,TRY,PC_25_64,A,2012,22.046715,
HUN,EDUADULT,TRY,PC_25_64,A,2013,22.505821,
HUN,EDUADULT,TRY,PC_25_64,A,2014,23.356073,
HUN,EDUADULT,TRY,PC_25_64,A,2015,24.242552,
HUN,EDUADULT,TRY,PC_25_64,A,2016,23.713329,
HUN,EDUADULT,TRY,PC_25_64,A,2017,24.054041,
HUN,EDUADULT,TRY,PC_25_64,A,2018,25.101177,
HUN,EDUADULT,TRY,PC_25_64,A,2019,25.981535,
HUN,EDUADULT,TRY,PC_25_64,A,2020,27.203154,
ISL,EDUADULT,TRY,PC_25_64,A,2011,32.616898,
ISL,EDUADULT,TRY,PC_25_64,A,2012,33.888733,
ISL,EDUADULT,TRY,PC_25_64,A,2013,34.277187,
ISL,EDUADULT,TRY,PC_25_64,A,2014,35.608643,
ISL,EDUADULT,TRY,PC_25_64,A,2015,36.97718,
ISL,EDUADULT,TRY,PC_25_64,A,2016,38.100773,
ISL,EDUADULT,TRY,PC_25_64,A,2017,39.043491,
ISL,EDUADULT,TRY,PC_25_64,A,2018,40.279774,
ISL,EDUADULT,TRY,PC_25_64,A,2019,40.948925,
ISL,EDUADULT,TRY,PC_25_64,A,2020,40.643898,
IRL,EDUADULT,TRY,PC_25_64,A,2011,38.162312,
IRL,EDUADULT,TRY,PC_25_64,A,2012,39.69788,
IRL,EDUADULT,TRY,PC_25_64,A,2013,41.47068,
IRL,EDUADULT,TRY,PC_25_64,A,2014,40.967049,
IRL,EDUADULT,TRY,PC_25_64,A,2015,42.806118,
IRL,EDUADULT,TRY,PC_25_64,A,2016,45.104263,
IRL,EDUADULT,TRY,PC_25_64,A,2017,45.65897,
IRL,EDUADULT,TRY,PC_25_64,A,2018,46.935135,
IRL,EDUADULT,TRY,PC_25_64,A,2019,47.306835,
IRL,EDUADULT,TRY,PC_25_64,A,2020,49.943962,
ITA,EDUADULT,TRY,PC_25_64,A,2011,14.935372,
ITA,EDUADULT,TRY,PC_25_64,A,2012,15.708264,
ITA,EDUADULT,TRY,PC_25_64,A,2013,16.289694,
ITA,EDUADULT,TRY,PC_25_64,A,2014,16.910578,
ITA,EDUADULT,TRY,PC_25_64,A,2015,17.546457,
ITA,EDUADULT,TRY,PC_25_64,A,2016,17.723593,
ITA,EDUADULT,TRY,PC_25_64,A,2017,18.669672,
ITA,EDUADULT,TRY,PC_25_64,A,2018,19.368793,
ITA,EDUADULT,TRY,PC_25_64,A,2019,19.695461,
ITA,EDUADULT,TRY,PC_25_64,A,2020,19.987385,
JPN,EDUADULT,TRY,PC_25_64,A,2011,46.364063,
JPN,EDUADULT,TRY,PC_25_64,A,2012,46.619377,
JPN,EDUADULT,TRY,PC_25_64,A,2013,47.311993,
JPN,EDUADULT,TRY,PC_25_64,A,2014,48.185074,
JPN,EDUADULT,TRY,PC_25_64,A,2015,49.541573,
JPN,EDUADULT,TRY,PC_25_64,A,2016,50.496956,
JPN,EDUADULT,TRY,PC_25_64,A,2017,51.440529,
JPN,EDUADULT,TRY,PC_25_64,A,2018,51.928062,
JPN,EDUADULT,TRY,PC_25_64,A,2019,52.67799,
JPN,EDUADULT,TRY,PC_25_64,A,2020,54.027344,
KOR,EDUADULT,TRY,PC_25_64,A,2011,40.381783,
KOR,EDUADULT,TRY,PC_25_64,A,2012,41.746613,
KOR,EDUADULT,TRY,PC_25_64,A,2013,43.075195,
KOR,EDUADULT,TRY,PC_25_64,A,2014,44.49865,
KOR,EDUADULT,TRY,PC_25_64,A,2015,45.356678,
KOR,EDUADULT,TRY,PC_25_64,A,2016,46.643951,
KOR,EDUADULT,TRY,PC_25_64,A,2017,47.744724,
KOR,EDUADULT,TRY,PC_25_64,A,2018,49.008511,
KOR,EDUADULT,TRY,PC_25_64,A,2019,50.03104,
KOR,EDUADULT,TRY,PC_25_64,A,2020,50.708714,
LUX,EDUADULT,TRY,PC_25_64,A,2011,37.034779,
LUX,EDUADULT,TRY,PC_25_64,A,2012,39.110382,
LUX,EDUADULT,TRY,PC_25_64,A,2013,40.673241,
LUX,EDUADULT,TRY,PC_25_64,A,2014,45.935593,
LUX,EDUADULT,TRY,PC_25_64,A,2015,39.794865,
LUX,EDUADULT,TRY,PC_25_64,A,2016,42.856003,
LUX,EDUADULT,TRY,PC_25_64,A,2017,40.325737,
LUX,EDUADULT,TRY,PC_25_64,A,2018,43.886856,
LUX,EDUADULT,TRY,PC_25_64,A,2019,51.642971,
LUX,EDUADULT,TRY,PC_25_64,A,2020,51.312302,
MEX,EDUADULT,TRY,PC_25_64,A,2011,15.012249,
MEX,EDUADULT,TRY,PC_25_64,A,2012,15.709545,
MEX,EDUADULT,TRY,PC_25_64,A,2013,16.20183,
MEX,EDUADULT,TRY,PC_25_64,A,2014,15.996383,
MEX,EDUADULT,TRY,PC_25_64,A,2015,16.278801,
MEX,EDUADULT,TRY,PC_25_64,A,2016,16.818605,
MEX,EDUADULT,TRY,PC_25_64,A,2017,17.418995,
MEX,EDUADULT,TRY,PC_25_64,A,2018,17.979799,
MEX,EDUADULT,TRY,PC_25_64,A,2019,18.259947,
MEX,EDUADULT,TRY,PC_25_64,A,2020,19.432951,
NLD,EDUADULT,TRY,PC_25_64,A,2011,32.041344,
NLD,EDUADULT,TRY,PC_25_64,A,2012,34.398335,
NLD,EDUADULT,TRY,PC_25_64,A,2013,33.869305,
NLD,EDUADULT,TRY,PC_25_64,A,2014,34.419815,
NLD,EDUADULT,TRY,PC_25_64,A,2015,35.330765,
NLD,EDUADULT,TRY,PC_25_64,A,2016,35.999168,
